model,auroc,ci_lo,ci_hi
FIB4,0.5527389277389277,0.43364954553594875,0.6527328809311415
NFS,0.753826277082091,0.6688781851064566,0.8344833981521503
APRI,0.5196192696192695,0.4165652831211342,0.607813739397802
XGBoost,0.8268259518259519,0.7597999222999223,0.8909252968776152
