k,gap,wk
2,0.836758953420258,5052.276553705815
3,0.874201079813016,4693.791281673301
4,0.9133986249026709,4389.895342148727
5,0.9270012566234946,4214.276794347854
6,0.9437342858011579,4059.300989832245
7,0.9501068346825008,3938.6850707064964
8,0.96370403148034,3838.484730048493
9,0.9753202888762349,3733.3875168674044
10,0.9818809335175445,3658.798116248656
